Frame,Time (Seconds),Rotation X,Rotation Y,Rotation Z,Rotation W,Position X,Position Y,Position Z,Error Per Marker
181,1.81,0.690657,0.232586,-0.582654,-0.359737,0.912674,1.715577,-0.378556,0.023271
182,1.82,0.726906,0.317503,-0.549214,-0.26299,0.922737,1.709406,-0.380085,0.032058
183,1.83,0.742428,0.367382,-0.523187,-0.200265,0.929158,1.70547,-0.381068,0.03204
184,1.84,0.696195,0.241814,-0.57633,-0.353104,0.912511,1.715003,-0.378977,0.023348
185,1.85,0.728963,0.321566,-0.545449,-0.26018,0.922539,1.709128,-0.380306,0.032057
186,1.86,0.743032,0.368467,-0.521746,-0.199793,0.928961,1.705388,-0.381145,0.032054
187,1.87,0.695951,0.241468,-0.576162,-0.354094,0.912275,1.71512,-0.379037,0.023266
188,1.88,0.728406,0.320279,-0.546175,-0.261799,0.922348,1.709266,-0.380294,0.032048
189,1.89,0.666737,0.192056,-0.603254,-0.393271,0.911699,1.718,-0.377009,0.024522
190,1.9,0.714913,0.291908,-0.566667,-0.287362,0.922055,1.711073,-0.379045,0.031989
191,1.91,0.654933,0.173222,-0.612659,-0.407069,0.91159,1.718995,-0.376228,0.024512
192,1.92,0.709962,0.281705,-0.573603,-0.295931,0.922054,1.711626,-0.378576,0.03207
193,1.93,0.651089,0.167581,-0.615619,-0.411112,0.911647,1.719322,-0.375976,0.024535
194,1.94,0.708741,0.279569,-0.575187,-0.297804,0.922137,1.711753,-0.378455,0.032043
195,1.95,0.650906,0.167033,-0.616316,-0.41058,0.911783,1.719441,-0.375908,0.024498
196,1.96,0.708931,0.280108,-0.575421,-0.296391,0.922245,1.711798,-0.378459,0.032011
197,1.97,0.651461,0.168425,-0.616001,-0.409603,0.911806,1.719332,-0.375989,0.024495
198,1.98,0.709511,0.281444,-0.574651,-0.295228,0.922285,1.711679,-0.378533,0.032051
199,1.99,0.734821,0.348452,-0.53939,-0.218351,0.928971,1.706798,-0.380173,0.032003
200,2,0.745808,0.386821,-0.514781,-0.170705,0.933131,1.703736,-0.381182,0.032031
201,2.01,0.702819,0.257193,-0.572766,-0.33442,0.914951,1.713881,-0.379102,0.023334
202,2.02,0.731837,0.330897,-0.541721,-0.247911,0.924,1.708397,-0.38043,0.032049
203,2.03,0.671554,0.200534,-0.601183,-0.383901,0.912721,1.717481,-0.377135,0.024512
204,2.04,0.717503,0.297529,-0.563811,-0.280683,0.922623,1.710706,-0.379167,0.03204
205,2.05,0.657781,0.177593,-0.611381,-0.40249,0.911915,1.718899,-0.376334,0.024509
206,2.06,0.711483,0.284808,-0.571915,-0.292556,0.922186,1.711546,-0.378683,0.032022
207,2.07,0.652701,0.170064,-0.614682,-0.408932,0.911645,1.719259,-0.376088,0.024479
208,2.08,0.709548,0.281275,-0.57433,-0.295923,0.922068,1.711709,-0.378557,0.03201
209,2.09,0.734502,0.347268,-0.53989,-0.22007,0.928745,1.706871,-0.38015,0.032014
210,2.1,0.745309,0.385381,-0.51591,-0.172724,0.932914,1.70387,-0.381165,0.031969
211,2.11,0.750353,0.406762,-0.500563,-0.14475,0.935408,1.702022,-0.381727,0.032071
212,2.12,0.708637,0.270165,-0.567339,-0.320891,0.916154,1.713017,-0.37943,0.023261
213,2.13,0.733609,0.336354,-0.53882,-0.24157,0.924547,1.708018,-0.380601,0.032041
214,2.14,0.672411,0.202259,-0.600363,-0.382777,0.91283,1.717239,-0.377191,0.024482
215,2.15,0.717061,0.296903,-0.564198,-0.281696,0.922507,1.710694,-0.379169,0.031982
216,2.16,0.656321,0.175637,-0.611721,-0.405206,0.911647,1.718904,-0.376321,0.024516
217,2.17,0.710284,0.282305,-0.572832,-0.296082,0.921892,1.711634,-0.378638,0.032067
